photo,date,purchase_contains,caption
IMG_7006,7/4/2026,hershey,A Hershey's almond-matcha bar.
IMG_7008,7/4/2026,coconut matcha drink,Iced coconut matcha drink from café
IMG_7021,7/4/2026,mango toffee,A bag of mango toffee from the floating market.
IMG_7031,7/5/2026,everything bagel,An everything bagel.
IMG_7033,7/5/2026,mcdonald,A McDonald's meal in Bangkok.
IMG_7035,7/5/2026,coconut water and lychee drink,Coconut water and lychee drink from Lotus's
IMG_7036,7/6/2026,chicken rice dish,Boiled chicken and rice brunch
IMG_7040,7/6/2026,snacks and drinks,Snacks and drinks from 7/11
IMG_7041,7/7/2026,free food,Food provided by family hosting us
IMG_7042,7/7/2026,shrimp rice,A shrimp egg and rice dish
IMG_7043,7/7/2026,matcha boba,matcha boba drink
IMG_7044,7/7/2026,krispy crème cookies and cream,A cookies-and-cream Krispy Kreme donut.
IMG_7045,7/7/2026,pretzel dog,An Auntie Anne's pretzel chicken dog.
IMG_7046,7/8/2026,taro boba,Taro boba from Gong Cha
IMG_7047,7/8/2026,wings,boneless 6 piece wings from Wingstop
IMG_7048,7/8/2026,smoothie and kombucha,Smoothie and kombucha from Gourmet Market
IMG_7049,7/8/2026,pandan dessert,A pandan soft-serve dessert from Swensen's.
IMG_7053,7/9/2026,ube boba,Ube cloud boba from GA/GA
IMG_7054,7/9/2026,sushi,Converyor belt sushi from Hama-Sushi
IMG_7057,7/9/2026,beef bulgogi,Beef bulgogi rice dinner from Bonchon
IMG_7058,7/9/2026,ice cream parfait and snacks,Chocolate dipped McDonald's ice cream
IMG_7059,7/9/2026,gum and drink,Xylitol gum and chlorophyll drink from 7/11
IMG_7060,7/10/2026,karamen,Chicken pork karamen from 8-Ramen
IMG_7061,7/10/2026,ube frappe,A GA/GA ube Mont Blanc coconut frappe with boba.
IMG_7062,7/10/2026,melon yogurt,Melon yogurt meji drink from 7/11
IMG_7063,7/10/2026,nuggets and sundae,McDonald's nuggets and a sundae.
IMG_7069,7/12/2026,chicken noodles,Stir fry chicken noodles from food court
IMG_7071,7/12/2026,Ube matcha,Ube matcha cloud drink from GA/GA
IMG_7073,7/12/2026,lemon soda,Singha ume lemon soda
IMG_7075,7/12/2026,croc wallet,Crocodile leather wallet from leather shop
IMG_7077,7/12/2026,noodles,Noodle dinner from local mall
IMG_7078,7/12/2026,dq ice cream,Chocolate ice cream from dairy queen
IMG_7079,7/12/2026,strawberry yogurt,Strawberry yougurt meji drink from 7/11
IMG_7081,7/13/2026,pedicure,Pedicure (not showing my feet ofc)
IMG_7082,7/13/2026,chicken and rice,Spicy chicken and rice from McDonald's
IMG_7085,7/13/2026,boba,GA/GA overload drink from GA/GA
IMG_7088,7/14/2026,noodles and wontons,Noodles and chili wonton from Kuanzhai Panda Chengdu
IMG_7090,7/14/2026,banana smoothie,Thrilling blue banana smoothe minion edition from Boost
IMG_7093,7/14/2026,button up,Brown linen button up shirt from COS
IMG_7098,7/14/2026,mcdonalds,Mcdonald's dinner
IMG_7099,7/14/2026,7up,7up from movie theater
IMG_7100,7/14/2026,popcorn,Truffle popcorn for Minions movie in theater
IMG_7104,7/15/2026,haircut,Haircut from local barbershop
IMG_7108,7/15/2026,chicken noodle soup,Chicken noodle soup
IMG_7109,7/15/2026,smoothie,Mango magic smoothie from Boost
IMG_7110,7/15/2026,thai tea boba,Brown sugar Thai tea boba
IMG_7111,7/15/2026,chicken rice dish,Cheese chicken rice dish from Bonchon
IMG_7112,7/15/2026,drinks and snacks,Drinks and snacks from 7/11
IMG_7118,7/16/2026,chicken dish,Lemongrass chicken dish from Eat Am Are Good Steak
IMG_7119,7/16/2026,passion fruit yogurt,Passion fruit yogurt drink from Yoguruto
IMG_7120,7/16/2026,onigiri,Spicy salmon onigiri from 7/11
IMG_7123,7/17/2026,toilet paper,Toilet paper from Lotus's
IMG_7124,7/17/2026,croc belt and cardholder,Crocodile leather belt and cardholder from leather shop
IMG_7126,7/17/2026,beef meal,Beef meal set and coke that no one ordered from Yakiniku
IMG_7127,7/17/2026,berry smoothie,All berry bang smoothie from Boost
IMG_7131,7/18/2026,bday shirt,Linen shirt for Veronic's bday from Muji
IMG_7135,7/18/2026,chicken burger,Chicken burger from Shake Shack
IMG_7136,7/18/2026,thai tea boba,Royal thai tea boba from PangCha (mostly ice and overpriced)
IMG_7139,7/18/2026,bk tshirt,Bangkok t-shirt gift for brother from weekend market
IMG_7140,7/18/2026,card holder,Leather cardholder gift for dad from weekend market
IMG_7146,7/18/2026,ube boba,Ube cloud boba from GA/GA
IMG_7147,7/18/2026,torisoba,Torisoba from 8-ramen
IMG_7148,7/18/2026,chicken burger,Cheese chicken burger from McDonald's
IMG_7154,7/19/2026,water,Ph balanced water from airport
IMG_7159,7/19/2026,pineapple,A gift bag of Taiwanese pineapple cakes.
IMG_7160,7/19/2026,hey song,A can of HeySong sarsaparilla from a vending machine.
IMG_7161,7/19/2026,dragon fruit,Dried dragon fruit and Saint Peter tea biscuits.
